,Title,Price Per Night in $,Total Price in $,Rating,Number of Reviewer
0,ห้องส่วนตัวใน Khet Phaya Thai,38,150.0,5.0,40
1,ห้องส่วนตัวใน กรุงเทพ,38,169.0,4.87,97
2,ห้องส่วนตัวใน กรุงเทพ,46,187.0,4.91,158
3,ห้องส่วนตัวใน Khet Ratchathewi,43,184.0,0.0,0
4,ห้องส่วนตัวใน กรุงเทพ,19,81.0,4.99,74
5,ห้องส่วนตัวใน Din Daeng,21,103.0,4.98,54
6,ห้องส่วนตัวใน พญาไท,34,139.0,5.0,27
7,ห้องส่วนตัวใน Khet Phaya Thai,19,81.0,4.93,28
8,ห้องส่วนตัวใน พญาไท,30,124.0,4.95,20
9,ห้องส่วนตัวใน กรุงเทพ,21,88.0,4.95,55
10,ห้องส่วนตัวใน กรุงเทพ,43,176.0,4.9,188
11,ห้องส่วนตัวใน Din Daeng,20,102.0,4.93,123
12,ห้องส่วนตัวใน Khet Ratchathewi,33,132.0,4.49,59
13,ห้องส่วนตัวใน กรุงเทพ,40,163.0,4.89,202
14,ห้องส่วนตัวใน กรุงเทพ,53,219.0,4.79,71
15,ห้องพักในโรงแรมใน กรุงเทพ,68,280.0,5.0,4
16,ห้องส่วนตัวใน กรุงเทพ,12,53.0,4.73,41
17,ห้องพักในโรงแรมใน Khet Din Daeng,29,115.0,0.0,0
18,ห้องพักในโรงแรมใน Khet Ratchathewi,63,252.0,0.0,0
19,ห้องส่วนตัวใน Khet Ratchathewi,33,132.0,4.75,48
20,ห้องส่วนตัวใน Khet Ratchathewi,30,120.0,0.0,0
21,ห้องพักในโรงแรมใน พญาไท,89,363.0,5.0,5
22,ห้องพักในโรงแรมใน กรุงเทพ,68,280.0,5.0,4
23,ห้องส่วนตัวใน Khet Phaya Thai,110,447.0,0.0,0
24,ห้องพักในโรงแรมใน Khet Ratchathewi,62,247.0,0.0,0
25,ห้องส่วนตัวใน กรุงเทพ,48,192.0,4.51,83
26,ห้องส่วนตัวใน กรุงเทพ,12,53.0,4.73,41
27,ห้องส่วนตัวใน Khet Ratchathewi,33,132.0,4.75,48
28,ห้องพักในโรงแรมใน Khet Din Daeng,29,115.0,0.0,0
29,ห้องพักในโรงแรมใน Khet Din Daeng,29,115.0,0.0,0
30,ห้องพักในโรงแรมใน Khet Din Daeng,29,115.0,0.0,0
31,ห้องส่วนตัวใน กรุงเทพ,39,156.0,4.72,58
32,ห้องส่วนตัวใน Khet Din Daeng,40,158.0,4.94,52
33,ห้องส่วนตัวใน Khet Ratchathewi,45,189.0,4.33,3
34,ห้องส่วนตัวใน Khet Din Daeng,53,210.0,0.0,0
35,ห้องส่วนตัวใน Khet Ratchathewi,33,132.0,4.5,4
36,ห้องส่วนตัวใน Khet Ratchathewi,81,324.0,4.67,3
37,ห้องในโรงแรมใน Khet Ratchathewi,25,99.0,0.0,0
38,ห้องในโรงแรมใน Khet Ratchathewi,24,96.0,0.0,0
39,ห้องส่วนตัวใน กรุงเทพ,81,324.0,4.8,10
