Title,Location,Price
เดอะ มาร์ค รัชดา แอร์พอร์ตลิ้งค์,"พระราม 9, กรุงเทพ","2,000,000"
คอนโด 1 นอน ห้องใหญ่ ใกล้ BTS พญาไท,"พญาไท, กรุงเทพ","2,200,000"
เดอะ มาร์ค รัชดา แอร์พอร์ตลิ้งค์,"พระราม 9, กรุงเทพ","2,200,000"
เดอะ มาร์ค รัชดา แอร์พอร์ตลิ้งค์,"พระราม 9, กรุงเทพ","2,390,000"
คอนโด 2 นอน ห้องสวย ใกล้ BTS นานา ขั้นต่ำ 6 ด,"พระราม 9, กรุงเทพ","2,400,000"
เดอะ มาร์ค รัชดา แอร์พอร์ตลิ้งค์,"พระราม 9, กรุงเทพ","2,490,000"
เดอะ มาร์ค รัชดา แอร์พอร์ตลิ้งค์,"พระราม 9, กรุงเทพ","2,490,000"
เดอะ มาร์ค รัชดา แอร์พอร์ตลิ้งค์,"พระราม 9, กรุงเทพ","2,500,000"
เดอะ คอมพลีท ราชปรารภ,"ราชปรารภ, กรุงเทพ","2,500,000"
วิช ซิกเนเจอร์ มิดทาวน์ สยาม,"เพชรรามา, กรุงเทพ","2,590,000"
เดอะ มาร์ค รัชดา แอร์พอร์ตลิ้งค์,"พระราม 9, กรุงเทพ","2,600,000"
บ้าน 3 นอน ห้องกว้าง ใกล้ BTS พญาไท,"เพชรรามา, กรุงเทพ","2,700,000"
ราชวิถี ซิตี้ รีสอร์ท คอนโดมิเนียม,"อนุสาวรีย์ชัยสมรภูมิ, กรุงเทพ","2,700,000"
วิช แอท สยาม คอนโดมิเนียม,"ราชเทวี, กรุงเทพ","2,790,000"
บ้าน 3 นอน ตกแต่งสวย ใกล้ BTS ราชเทวี,"ทุ่งพญาไท, กรุงเทพ","2,790,000"
วิช แอท สยาม คอนโดมิเนียม,"ราชเทวี, กรุงเทพ","2,800,000"
ริทึ่ม อโศก,"พระราม 9, กรุงเทพ","2,800,000"
ไลฟ์ อโศก พระราม 9,"พระราม 9, กรุงเทพ","2,900,000"
เดอะ มาร์ค รัชดา แอร์พอร์ตลิ้งค์,"พระราม 9, กรุงเทพ","2,900,000"
ไลฟ์ อโศก พระราม 9,"พระราม 9, กรุงเทพ","2,900,000"
