Hotel Name,Rating,Reviews
Pullman King Power Bangkok Hotel,4.6,13 รีวิว
โรงแรมใบหยกสกาย (Baiyoke Sky Hotel),4.1,9 รีวิว
"วีโฮเต็ล (Vie Hotel Bangkok, Mgallery By Sofitel)",4.5,5 รีวิว
The Berkeley Hotel Pratunam,4.5,8 รีวิว
โรงแรมอครา กรุงเทพฯ (Akara Hotel Bangkok),4.8,3 รีวิว
The Sukosol Bangkok (The Sukosol Bangkok),4.6,7 รีวิว
โรงแรมเอเชีย (Asia Hotel),3.6,3 รีวิว
สำราญเพลส (Samran Place),4.0,2 รีวิว
อมารี วอเตอร์เกท กรุงเทพฯ (Amari Watergate Bangkok),4.5,2 รีวิว
"De Prime@Rangnam, Your Tailor Made Hotel",2.7,4 รีวิว
K Maison Boutique Hotel,3.0,1 รีวิว
โรงแรมเดอะสุโกศล (The Su Koson Hotel),4.5,2 รีวิว
โรงแรมปิคนิค (Picnic Hotel),3.5,2 รีวิว
Bangkok Oasis Hotel,4.0,2 รีวิว
โรงแรมเซ็นจูรี่พาร์ค (Century Park Hotel),3.6,2 รีวิว
โมวีลอดจ์โฮสเทล (Movylodge Hostel),4.0,6 รีวิว
Bangkok Midtown Hotel,2.0,3 รีวิว
โรงแรมบางกอกซิตี้ (Bangkok City Hotel),5.0,1 รีวิว
โรงแรม​tranz,None,1 รีวิว
Sukhon Hotel Bangkok,None,None
